iter	MultiClass	Accuracy
0	-2.014548602	0.6886657102
1	-1.957277615	0.7589670014
2	-1.902604066	0.7360114778
3	-1.847445695	0.7661406026
4	-1.794621966	0.7489239598
5	-1.751313244	0.7489239598
6	-1.709644076	0.7431850789
7	-1.659903689	0.7489239598
8	-1.623239723	0.756097561
9	-1.585455826	0.7647058824
10	-1.549084464	0.7661406026
11	-1.516197937	0.769010043
12	-1.487385828	0.7718794835
13	-1.457588919	0.7862266858
14	-1.425105807	0.787661406
15	-1.396787728	0.787661406
16	-1.367701278	0.7890961263
17	-1.3407184	0.7977044476
18	-1.31765597	0.7919655667
19	-1.295636546	0.8020086083
20	-1.271699109	0.8091822095
21	-1.249594549	0.8106169297
22	-1.229162332	0.8177905308
23	-1.209356441	0.8192252511
24	-1.187588998	0.8192252511
25	-1.167910952	0.824964132
26	-1.149488191	0.8263988522
27	-1.1279192	0.8263988522
28	-1.111128324	0.8263988522
29	-1.090733397	0.8307030129
30	-1.076632355	0.8321377331
31	-1.060020106	0.8335724534
32	-1.041711949	0.8378766141
33	-1.026870516	0.8421807747
34	-1.01121648	0.8450502152
35	-0.9996198632	0.8450502152
36	-0.9862840424	0.8479196557
37	-0.9723481123	0.8479196557
38	-0.9607718145	0.8507890961
39	-0.9481646956	0.8507890961
40	-0.9361148314	0.8479196557
41	-0.9249605265	0.8464849354
42	-0.9151599676	0.8493543759
43	-0.9049318226	0.8522238164
44	-0.894824728	0.8522238164
45	-0.8823510208	0.8522238164
46	-0.8721810666	0.8536585366
47	-0.861504783	0.8522238164
48	-0.8521352361	0.856527977
49	-0.8426682005	0.8550932568
50	-0.8338754758	0.8579626973
51	-0.8236923261	0.856527977
52	-0.8147568447	0.8593974175
53	-0.8046791972	0.8593974175
54	-0.7944655294	0.8608321377
55	-0.7851555305	0.8651362984
56	-0.7760357975	0.8694404591
57	-0.7692928877	0.8694404591
58	-0.7619039488	0.8708751793
59	-0.753894536	0.8708751793
60	-0.7453939749	0.8723098996
61	-0.7358709231	0.87517934
62	-0.72791397	0.8737446198
63	-0.7187333322	0.8737446198
64	-0.7117533389	0.8737446198
