iter	Passed	Remaining
0	955	955036
1	1859	927856
2	2722	904695
3	3698	920822
4	4581	911678
5	5521	914695
6	6519	924885
7	7393	916777
8	8307	914766
9	9232	913968
10	10131	910923
11	11014	906855
12	11985	909999
13	12838	904169
14	13864	910448
15	14713	904903
16	15693	907468
17	16506	900525
18	17383	897543
19	18276	895560
20	19153	892934
21	20008	889481
22	20875	886735
23	21813	887096
24	22679	884509
25	23550	882225
26	24406	879533
27	25289	877897
28	26167	876158
29	27172	878562
30	28181	880894
31	29142	881552
32	30097	881962
33	31175	885737
34	32030	883137
35	32983	883238
36	33865	881412
37	34739	879459
38	35605	877365
39	36484	875621
40	37351	873652
41	38170	870660
42	39025	868547
43	39844	865713
44	40733	864450
45	41557	861870
46	42463	861024
47	43337	859520
48	44233	858497
49	45041	855787
50	45927	854607
51	46757	852418
52	47539	849437
53	48385	847640
54	49237	845983
55	50125	844973
56	50967	843195
57	51812	841500
58	52773	841690
59	53675	840923
60	54562	839898
61	55442	838784
62	56321	837666
63	57181	836285
64	58047	834987
65	58896	833468
66	59684	831122
67	60610	830721
68	61522	830111
69	62448	829672
70	63449	830202
71	64287	828599
72	65158	827422
73	66008	825993
74	66865	824669
75	67748	823678
76	68603	822345
77	69456	821016
78	70459	821432
79	71377	820842
80	72380	821201
81	73215	819655
82	74218	819979
83	75161	819613
84	76024	818381
85	76916	817463
86	77719	815612
87	78582	814404
88	79426	813001
89	80305	811982
90	81195	811059
91	82190	811189
92	83003	809509
93	83884	808507
94	84726	807134
95	85522	805339
96	86353	803886
97	87147	802109
98	87993	800826
99	88758	798830
100	89541	797011
101	90392	795804
102	91213	794354
103	92007	792676
104	92929	792110
105	94024	792997
106	95218	794677
107	96289	795279
108	97368	795920
109	98436	796440
110	99376	795905
111	100433	796292
112	101426	796152
113	102416	795973
114	103394	795688
115	104529	796585
116	105566	796714
117	106557	796470
118	107537	796136
119	108599	796397
120	109568	795954
121	110709	796747
122	111629	795925
123	112604	795496
124	113708	795956
125	114698	795608
126	115522	794106
127	116370	792776
128	117443	792969
129	118306	791744
130	119233	790947
131	120139	790005
132	120961	788525
133	121827	787334
134	122708	786244
135	123642	785490
136	124842	786414
137	125839	786041
138	126971	786495
139	128005	786318
140	129126	786666
141	129984	785398
142	130924	784629
143	131869	783891
144	132745	782737
145	133645	781732
146	134510	780524
147	135386	779386
148	136372	778877
149	137479	779050
150	138631	779459
151	139663	779174
152	140655	778660
153	141606	777917
154	142593	777363
155	143560	776701
156	144556	776184
157	145537	775587
158	146484	774800
159	147447	774101
160	148348	773073
161	149409	772871
162	150596	773306
163	151609	772838
164	152588	772189
165	153371	770555
166	154267	769488
167	155168	768454
168	156038	767268
169	156867	765883
170	157833	765169
171	158810	764507
172	159805	763925
173	160850	763578
174	161633	761985
175	162876	762558
176	163876	761977
177	164823	761151
178	165765	760300
179	166702	759420
180	167676	758713
181	168660	758046
182	169571	757046
183	170563	756411
184	171751	756633
185	173077	757445
186	174225	757462
187	175461	757846
188	176659	758046
189	177772	757873
190	178822	757418
191	179850	756869
192	180860	756241
193	181867	755593
194	182919	755127
195	183897	754353
196	185191	754866
197	186385	754954
198	187456	754535
199	188575	754301
200	189613	753739
201	190671	753246
202	191650	752438
203	192725	752008
204	193733	751307
205	194783	750765
206	195821	750174
207	196913	749784
208	197987	749320
209	199043	748784
210	200053	748066
211	201054	747316
212	202177	747013
213	203215	746390
214	204482	746598
215	205517	745952
216	206494	745093
217	207492	744308
218	208448	743372
219	209481	742707
220	210530	742096
221	211494	741184
222	212477	740337
223	213479	739552
224	214484	738779
225	215501	738045
226	216524	737328
227	217481	736384
228	218440	735449
229	219372	734420
230	220385	733665
231	221355	732762
232	222338	731905
233	223346	731125
234	224498	730815
235	225566	730223
236	226565	729406
237	227581	728642
238	228637	728003
239	229668	727282
240	230726	726643
241	231865	726257
242	232843	725360
243	233856	724573
244	234870	723783
245	235876	722970
246	236926	722289
247	237928	721461
248	238962	720727
249	239893	719681
250	240918	718915
251	242051	718470
252	243204	718079
253	244161	717104
254	245184	716322
255	246161	715406
256	247175	714596
257	248201	713820
258	249212	712998
259	250201	712110
260	251219	711308
261	252203	710404
262	253192	709516
263	254145	708526
264	255116	707588
265	256253	707106
266	257220	706151
267	258208	705256
268	259172	704293
269	260189	703474
270	261183	702594
271	262306	702054
272	263276	701106
273	264211	700064
274	265141	699008
275	266058	697921
276	267037	696996
277	268065	696199
278	269008	695179
279	270023	694345
280	271112	693699
281	272127	692864
282	273118	691965
283	274125	691104
284	275142	690270
285	276164	689446
286	277129	688477
287	278078	687472
288	279069	686567
289	280062	685669
290	281050	684758
291	282104	684006
292	283326	683657
293	284760	683812
294	286099	683730
295	287293	683293
296	288508	682899
297	289639	682305
298	290913	682041
299	291903	681108
300	292959	680328
301	293985	679476
302	295041	678692
303	296050	677800
304	297478	677860
305	298715	677479
306	299576	676242
307	300664	675518
308	301549	674339
309	302495	673296
310	303419	672205
311	304384	671206
312	305346	670200
313	306400	669396
314	307354	668373
315	308338	667415
316	309250	666302
317	310110	665078
318	311014	663953
319	312002	663005
320	312960	661994
321	314015	661187
322	314861	659941
323	315766	658820
324	316656	657670
325	317500	656427
326	318374	655247
327	319251	654076
328	320179	653010
329	321007	651743
330	321937	650683
331	322761	649411
332	323603	648179
333	324549	647155
334	325375	645893
335	326246	644724
336	327046	643418
337	327930	642279
338	328773	641058
339	329607	639826
340	330597	638896
341	331422	637650
342	332261	636430
343	333096	635206
344	333946	634013
345	334864	632951
346	335736	631804
347	336653	630741
348	337481	629513
349	338271	628219
350	339183	627151
351	340110	626113
352	341040	625080
353	341916	623948
354	342903	623021
355	343786	621905
356	344692	620831
357	345523	619626
358	346438	618570
359	347414	617626
360	348265	616459
361	349052	615181
362	349949	614099
363	350920	613147
364	351783	612007
365	352705	610971
366	353599	609886
367	354538	608880
368	355392	607731
369	356237	606566
370	357069	605381
371	357923	604236
372	358802	603134
373	359706	602075
374	360612	601020
375	361457	599864
376	362392	598860
377	363269	597761
378	364128	596633
379	364962	595465
380	365787	594284
381	366654	593174
382	367437	591929
383	368292	590802
384	369152	589684
385	369935	588446
386	370757	587272
387	371552	586056
388	372405	584935
389	373218	583751
390	374104	582683
391	375030	581679
392	375924	580626
393	376854	579629
394	377711	578519
395	378551	577386
396	379475	576381
397	380429	575422
398	381307	574350
399	382166	573249
400	383012	572131
401	384014	571246
402	384895	570180
403	385697	568999
404	386562	567913
405	387407	566798
406	388327	565794
407	389121	564608
408	389991	563532
409	390849	562442
410	391694	561333
411	392543	560231
412	393436	559193
413	394334	558163
414	395209	557103
415	396141	556121
416	396961	554984
417	397836	553925
418	398688	552835
419	399565	551780
420	400661	551028
421	401703	550200
422	402798	549443
423	403799	548557
424	404809	547683
425	405711	546663
426	406776	545861
427	407736	544919
428	408805	544120
429	409769	543182
430	410770	542293
431	411827	541476
432	412834	540594
433	413799	539655
434	414822	538792
435	415793	537861
436	416707	536857
437	417717	535975
438	418754	535127
439	419718	534186
440	420719	533292
441	421721	532399
442	422738	531524
443	423716	530599
444	424726	529714
445	425774	528877
446	426796	528005
447	427916	527254
448	428827	526245
449	429805	525318
450	430802	524413
451	431643	523319
452	432644	522421
453	433553	521410
454	434627	520597
455	435608	519673
456	436482	518621
457	437931	518250
458	439064	517502
459	439906	516412
460	440809	515393
461	441827	514508
462	442680	513432
463	443550	512377
464	444442	511347
465	445576	510596
466	446422	509514
467	447354	508530
468	448279	507539
469	449179	506521
470	450059	505481
471	450901	504397
472	451723	503294
473	452516	502159
474	453799	501567
475	454864	500733
476	456062	500043
477	457420	499526
478	458352	498542
479	459233	497502
480	460242	496602
481	461168	495612
482	462244	494782
483	463173	493797
484	464070	492775
485	465037	491830
486	466052	490934
487	466899	489862
488	467774	488819
489	468630	487758
490	469451	486661
491	470358	485654
492	471144	484524
493	471989	483454
494	472946	482500
495	474119	481766
496	474956	480690
497	475802	479624
498	476643	478554
499	477455	477455
500	478288	476379
501	479224	475405
502	480094	474368
503	480917	473284
504	481786	472246
505	482590	471145
506	483483	470133
507	484335	469080
508	485328	468165
509	486192	467126
510	486999	466032
511	487850	464982
512	488736	463965
513	489553	462884
514	490373	461808
515	491198	460736
516	492014	459657
517	492859	458606
518	493637	457494
519	494493	456455
520	495326	455396
521	496258	454428
522	497317	453576
523	498182	452547
524	499002	451478
525	499881	450463
526	500769	449456
527	501668	448460
528	502536	447437
529	503364	446380
530	504226	445352
531	505191	444416
532	506225	443540
533	507298	442698
534	508477	441948
535	509390	440964
536	510281	439963
537	511131	438927
538	511966	437878
539	512871	436890
540	513794	435918
541	514693	434925
542	515595	433936
543	516496	432945
544	517389	431949
545	518263	430936
546	519216	429991
547	520266	429125
548	521305	428249
549	522366	427390
550	523283	426414
551	524247	425476
552	525122	424465
553	526120	423555
554	527004	422552
555	528047	421678
556	529004	420734
557	529976	419801
558	530956	418876
559	531900	417921
560	532949	417049
561	534103	416258
562	535055	415309
563	536055	414397
564	536952	413405
565	537856	412420
566	538794	411460
567	539768	410528
568	540755	409605
569	541779	408710
570	542760	407783
571	543865	406947
572	544832	406009
573	545761	405042
574	546723	404099
575	547649	403130
576	548620	402195
577	549551	401229
578	550545	400309
579	551544	399394
580	552534	398471
581	553512	397539
582	554408	396549
583	555375	395609
584	556382	394698
585	557384	393783
586	558365	392853
587	559337	391917
588	560291	390967
589	561322	390071
590	562298	389136
591	563216	388162
592	564234	387256
593	565212	386323
594	566151	385363
595	567144	384439
596	568174	383541
597	569194	382636
598	570319	381800
599	571303	380869
600	572321	379960
601	573246	378990
602	574222	378053
603	575136	377076
604	576100	376131
605	577162	375250
606	578059	374262
607	579051	373335
608	580057	372418
609	581028	371477
610	582013	370545
611	582974	369598
612	583975	368676
613	584956	367741
614	585930	366802
615	586804	365800
616	587824	364889
617	588868	363993
618	589912	363096
619	591002	362227
620	591938	361263
621	592849	360284
622	593822	359343
623	594861	358442
624	595969	357581
625	597106	356737
626	598135	355828
627	599131	354899
628	600184	354003
629	601190	353080
630	602160	352135
631	603092	351167
632	604235	350322
633	605240	349397
634	606268	348484
635	607306	347577
636	608306	346648
637	609440	345795
638	610450	344870
639	611387	343905
640	612315	342934
641	613276	341983
642	614281	341055
643	615285	340126
644	616432	339276
645	617402	338328
646	618423	337408
647	619348	336436
648	620285	335470
649	621184	334484
650	622168	333543
651	623149	332601
652	624177	331683
653	625161	330742
654	626160	329809
655	627091	328840
656	628038	327879
657	628998	326926
658	630093	326042
659	631053	325088
660	632065	324160
661	633022	323204
662	633983	322250
663	634918	321284
664	635868	320324
665	636817	319364
666	637808	318426
667	638998	317585
668	639985	316644
669	640953	315693
670	641933	314748
671	642861	313777
672	643783	312803
673	644817	311885
674	645772	310927
675	646755	309983
676	647742	309041
677	648684	308077
678	649630	307115
679	650597	306163
680	651542	305201
681	652525	304256
682	653516	303315
683	654469	302357
684	655435	301404
685	656442	300470
686	657407	299517
687	658347	298553
688	659287	297588
689	660487	296740
690	661809	295946
691	662922	295057
692	664087	294191
693	665316	293352
694	666446	292469
695	667502	291552
696	668520	290619
697	669571	289700
698	670617	288778
699	671541	287803
700	672655	286910
701	673638	285960
702	674569	284988
703	675568	284045
704	676556	283098
705	677500	282131
706	678535	281203
707	679665	280313
708	680584	279337
